OBJECTID,SCH_GUID,COUNTYCODE,COUNTY,DIST_CODE,DIST_NAME,SCHOOLCODE,SCHOOLTYPE,SCHOOL,SCHOOLNAME,X,Y,SOURCE
517,6acea05c-1bfe-46d4-bc34-461876799bb0,40,UNION,1239,Linden City,37L,,Sinai Christian Academy,Sinai Christian Academy,569041.6,660369.1283,PRIVATE
518,265a429a-cc45-49ae-b98f-f9773d6532f4,40,UNION,1253,Rahway City,49L,ELEMENTARY SCHOOL,Stepping Stone Academy,Stepping Stone Academy,554690.5394,646059.3905,PRIVATE
519,46fd8fd6-cb7a-4b93-9877-4cc822a06147,40,UNION,1264,Scotch Plains-Fanwood Reg,58L,KINDERGARTEN SCHOOL,"Wonder Years Academy, The",The Wonder Years Academy,523098.8418,657384.7616,PRIVATE
520,7a8f7331-c5e0-4366-916b-47019b539ac2,18,HUDSON,477,Jersey City,39E,ELEMENTARY SCHOOL,Stevens Cooperative School,"Stevens Cooperative School, Newport Campus",621935.2488,691033.502,PRIVATE
521,88d9eea5-2798-4a2a-9625-ecd2fe365d4f,20,HUNTERDON,498,Clinton Twp,60E,NURSERY/PRE-SCHOOL,Foundations Preschool,Foundations Preschool,386338.6694,658241.1457,PRIVATE
522,b1095070-4a18-4205-8338-ebf4b72a02e0,20,HUNTERDON,515,Readington Twp,75E,"PRESCHOOL,K-5/TRANSITIONAL KINDERGARTEN",Stanton Learning Center,Stanton Learning Center,398121.3749,634679.2699,PRIVATE
523,9500e40a-12ef-4bc9-a37a-9360444920a4,22,MERCER,533,Hamilton Twp,92E,COMBINED ELEMENTARY AND SECONDARY SCHOOL,TRENTON CATHOLIC PREPARATORY ACADEMY,Trenton Catholic Academy,431153.7776,504380.8087,PRIVATE
524,19916f51-e28f-4d16-a076-cade9509ba31,24,MIDDLESEX,655,Piscataway Twp,05G,NURSERY/PRE-SCHOOL,"Goddard School Of Piscataway, The",The Goddard School Of Piscataway,502765.6223,625837.1652,PRIVATE
525,0e6e37ae-646c-49f5-a45c-b0e7bff4fbc8,24,MIDDLESEX,676,South Plainfield Boro,24G,COMBINED ELEMENTARY AND SECONDARY SCHOOL,Salahuddin Future Academy,Alminhaal Academy,513451.9985,623998.2654,PRIVATE
526,f6b295d0-4b36-495c-8376-5d36f8a77c10,26,MONMOUTH,737,Howell Twp,78G,,"Learning Experience, The",The Learning Experience,563201.2717,491738.5384,PRIVATE
527,42e931e5-5c05-4394-8697-074f310c8380,26,MONMOUTH,818,Wall Twp,53H,KINDERGARTEN SCHOOL,"Goddard School Of Wall, The",The Goddard School Of Wall,604476.3995,480302.0544,PRIVATE
528,ee8201fe-06b8-43cc-b3f3-f5d487beda06,28,MORRIS,866,Madison Boro,96H,KINDERGARTEN SCHOOL,Fm Kirby Childrens Center,Fm Kirby Childrens Center,515313.8639,704376.8421,PRIVATE
529,7899e803-ad98-4181-bb83-c10c54175634,32,PASSAIC,1039,Clifton City,53J,FOUR-YEAR HIGH SCHOOL,Mesivta Of Clifton,Mesivta Of Clifton,592961.2916,728981.8428,PRIVATE
530,b445614e-527a-4bba-9a9e-6a24565b9c26,30,OCEAN,1006,Lakewood Twp,22J,FOUR-YEAR HIGH SCHOOL,Cong. Mikor Hatorah,Mekor Hatorah,576345.7589,449691.6937,PRIVATE
531,ac943f3b-0588-490b-9cda-24f43286e077,30,OCEAN,992,Lakewood Twp,11J,ELEMENTARY SCHOOL,Yeshiva Oros Yisroel,Yeshiva Oros Yisroel,567445.3226,452575.9806,PRIVATE
532,d99abc57-200b-4826-ba0f-defbae24d730,30,OCEAN,1007,Lakewood Twp,23J,ELEMENTARY SCHOOL,Yeshiva Toras Emes,Yeshiva Toras Emes,563879.3163,453342.8173,PRIVATE
533,6f620ee2-141d-4aea-9117-6e7c078feabb,30,OCEAN,1026,Toms River Regional,41J,DAY CARE,Cherry Lane Child Care Center,Cherry Lane Child Care & Learning,576093.6623,410865.7293,PRIVATE
534,827a3446-305e-4a8c-8cc0-0bb85515c8bc,2,ATLANTIC,21,Hammonton Town,20A,HIGH SCHOOL,SAINT JOSEPH ACADEMY,Saint Joseph High School,407598.7066,292807.4061,PRIVATE
535,0601d26e-2cbd-496b-bb9f-cf3dd774967e,6,BURLINGTON,176,Cinnaminson Twp,63B,,Saint Charles Borromeo,Saint Charles Borromeo,354563.5191,421011.4761,PRIVATE
536,d36b2691-4da7-4432-a630-db9126fb60d4,6,BURLINGTON,177,Cinnaminson Twp,64B,,Westfield Friends School,Westfield Friends School,354372.1467,423470.0732,PRIVATE
537,3e8e5632-fc3c-4cd8-a190-69a0439bdb85,6,BURLINGTON,188,Evesham Twp,73B,CHILD CARE CENTER,Under The Sun Learning Center,Under The Sun Learning Center,372530.718,382314.6838,PRIVATE
538,e206f64b-ac99-41b3-afb9-1ee1fbbf0488,6,BURLINGTON,194,Maple Shade Twp,78B,"K, PRESCHOOL, CHILD CARE",Our Lady Of Perpetual Help,Our Lady Of Perpetual Help,352611.6631,408902.834,PRIVATE
539,86055339-197e-4b3f-960c-9dfd3dc285ee,6,BURLINGTON,196,Moorestown Twp,80B,,Moorestown Friends School,Moorestown Friends School,368243.9786,412353.8894,PRIVATE
540,2924068e-d158-4a8d-9535-a5b245f1605b,6,BURLINGTON,197,Moorestown Twp,81B,,Our Lady Of Good Counsel,Our Lady Of Good Counsel,366394.7149,411370.4216,PRIVATE
541,565228ad-bc91-4f82-8154-df3191569e46,6,BURLINGTON,204,Mount Laurel Twp,88B,CHILD CARE CENTER,Just Children Briggs Rd,Just Children,381088.4289,411940.7498,PRIVATE
542,29975984-ef2d-43d7-9f03-2797e4251764,10,CAPE MAY,287,Middle Twp,63C,,Cape Christian Academy,Cape Christian Academy,394804.3769,81379.05269,PRIVATE
543,9b7107fe-7e1d-4503-9d51-43d6e585166f,10,CAPE MAY,291,North Wildwood City,66C,HIGH SCHOOL,WILDWOOD CATHOLIC ACADEMY,Wildwood Catholic High School,406229.6037,60586.09461,PRIVATE
544,e354e408-75cb-4c29-b07e-054c1ce958fc,26,MONMOUTH,791,Ocean Twp,27H,,Hillel Yeshiva Of The Shore Area,Hillel Yeshiva Of The Shore Area,616976.0218,516662.813,PRIVATE
545,01f1bf91-41aa-48b0-a9c4-1ed20adfcb17,26,MONMOUTH,817,Wall Twp,52H,,Brookside School,Brookside School,614545.2606,476690.8339,PRIVATE
546,2f501318-e10f-4439-bd68-b9464302ea62,26,MONMOUTH,1969,Wall Township,12Q,NURSERY/PRE-SCHOOL,Monmouth Montessori Academy,Monmouth Montessori Academy,608960.9519,492500.3023,PRIVATE
547,8b51d81f-5db3-4c05-b075-ac173671d1d1,28,MORRIS,843,Chester Twp,75H,,Gillst Bernards School,Gill-St Bernards School,445018.179,692150.299,PRIVATE
548,bce99c26-d550-497d-8478-ea88dafa4274,40,UNION,1262,Scotch Plains-Fanwood Reg,56L,,Saint Bartholomew Academy,St Bartholomew Interparochial,522337.7724,662601.2259,PRIVATE
549,90b2b2ba-16ee-4dca-b482-b3fd832d9c1d,36,SOMERSET,1138,Bridgewater-Raritan Reg,43K,,Saint Ann School,Saint Ann School,454397.6586,632488.6135,SOM_PRV
550,adf371da-71e5-4d72-9bb2-9f1d746e7389,36,SOMERSET,1144,Bridgewater-Raritan Reg,48K,DAY CARE,"Learning Gate, The","Learning Gate, The",470985.4821,631819.3954,PRIVATE
551,78cb1e10-fe69-4a54-b0e5-49e27dba1dd0,36,SOMERSET,1147,Franklin Twp,51K,PRESCHOOL,Community Christian Academy And Preschool,Community Christian Academy And Preschool,490018.5155,610712.811,PRIVATE
552,35ace47e-f976-4f15-a586-2b36ae1b1748,36,SOMERSET,1146,Franklin Twp,50K,,Rutgers Preparatory,Rutgers Preparatory,493388.9356,616325.9749,SOM_PRV
553,c16e4957-c6c3-49ea-bc4c-ac4ab524c7af,36,SOMERSET,1155,Franklin Twp,58K,,Saint Matthias School,Saint Matthias School,491332.0297,607218.271,SOM_PRV
554,5fb42c9c-3f11-492b-97e7-a455c6d90944,36,SOMERSET,1163,Hillsborough Twp,65K,,Goddard School Of Hillsborough,Goddard School Of Hillsborough,444285.1579,608256.7893,PRIVATE
555,576f9658-bd6e-41c6-b799-33df4451003e,36,SOMERSET,1166,Hillsborough Twp,68K,HEBREW SCHOOL/SPECIAL NEEDS/SUNDAY SCHOOL,Temple Beth-El,Temple Beth-El Religious School,460582.1062,624000.6417,PRIVATE
556,05aa6cea-e7b7-451a-af66-d52f396601f2,36,SOMERSET,1172,Montgomery Twp,73K,,Princeton Montessori School,Princeton Montessori School,437679.7577,564388.4751,SOM_PRV
557,173af9d0-6e83-4c09-ba69-031d2564f050,36,SOMERSET,1173,Montgomery Twp,74K,,Waldorf School Of Princeton,Waldorf School Of Princeton,440923.9507,571227.7561,SOM_PRV
558,474d1cfa-0094-4fb7-8b5a-7b98c0d98845,36,SOMERSET,1176,North Plainfield Boro,77K,,Sundance School,Sundance School,506765.9466,648574.1466,PRIVATE
559,4304b9f0-81d2-41c3-9ce3-33f5db013394,36,SOMERSET,1179,Somerset Hills Regional,80K,,Far Hills Country Day School,Far Hills Country Day,459653.8627,678929.2834,SOM_PRV
560,f06ea32e-a77b-4dcf-a9de-024bfe825755,36,SOMERSET,1181,Somerset Hills Regional,81K,,"Palmer School, The","Palmer School, The",473546.7959,687304.4117,SOM_PRV
561,76a9d2a9-1374-4ff0-a210-2e1561b078d5,36,SOMERSET,1184,Somerville Boro,84K,,Immaculata High School,Immaculata High School,459290.6282,636493.7505,SOM_PRV
562,97f01101-6501-4a76-9e01-f5d9cd6b7539,36,SOMERSET,1185,Somerville Boro,85K,,Immaculate Conception,Immaculate Conception,458748.9062,633815.768,SOM_PRV
563,b5f4a2fe-a07d-45e1-b269-5738ffc5a514,36,SOMERSET,1157,Hillsborough Twp,60K,,All Day Learning Centers,All Day Learning Center,450628.0392,596128.9218,PRIVATE
564,044834c2-c2c8-4e8b-96e8-0710f1174f40,16,GLOUCESTER,419,Woodbury City,86D,PRE K-GRADE 8,Holy Angels Catholic School,Holy Angels Catholic School,309851.4845,365791.27,PRIVATE
565,391bc50a-3ba4-441b-984e-304c3277255f,16,GLOUCESTER,421,Delsea Regional,87D,"HS, ALL GIRLS",Our Lady Of Mercy Academy,Our Lady Of Mercy Academy,352208.9493,259259.2616,PRIVATE
566,e08bfe4c-aabc-4255-a735-19a79e33973f,16,GLOUCESTER,422,Mantua Twp,88D,PRE K-GRADE 8,Ambassador Christian Academy,Ambassador Christian Academy,316952.5398,335662.5061,PRIVATE
567,d9b60c80-23de-4ace-b36e-9747d678dc2f,16,GLOUCESTER,423,Greenwich Twp,89D,PRE K-GRADE 8,Guardian Angels Regional School,Guardian Angels Regional School,271610.9455,361087.0697,PRIVATE
568,2575865f-c2a7-4e02-8203-9cdce46742c4,8,CAMDEN,247,Gloucester City,28C,GRADES 7-12,Gloucester Catholic High School,Gloucester Catholic Junior Senior High School,317087.51,387852.4489,PRIVATE
569,6e4db83c-b127-4821-8277-951f48d86c6c,8,CAMDEN,249,Gloucester Twp,30C,CHRISTIAN SCHOOL,Erial Community Church Christian School,Erial Community Church,350862.2581,340868.4018,PRIVATE
570,83e09237-ebcb-4fce-bd99-9447ea3571cf,8,CAMDEN,251,Gloucester Twp,31C,PRESCHOOL,The Goddard School Of Laurel Springs,Goddard School Of Laurel Springs,341931.1467,359313.7094,PRIVATE
571,862a5d48-cd44-431e-ba82-62105431256d,8,CAMDEN,253,Gloucester Twp,33C,PRE K-GRADE8,Our Lady Of Hope Regional School,Our Lady Of Hope Regioinal School,333681.4486,350516.9301,PRIVATE
572,30334316-d743-4daf-bbdd-437fabdc7857,8,CAMDEN,255,Haddon Heights Boro,35C,K-GRADE 8,Saint Rose Of Lima School,St Rose Of Lima School,335627.1626,384363.9372,PRIVATE
573,6959e6b2-68cf-4774-907a-7a93bcfc0c03,8,CAMDEN,256,Haddon Twp,36C,GRADES 9-12,Paul Vi High School,Paul Vi High School,334828.0238,388665.134,PRIVATE
574,cbb1a794-5d1c-4239-bf2d-c67d144f4ecf,8,CAMDEN,257,Haddonfield Boro,37C,PK- GRADE 8,Christ The King Regional School,Christ The King Regional Sch,342223.1491,389697.668,PRIVATE
575,84dc9f9e-888d-48a5-ae30-a83ae5ae9518,8,CAMDEN,258,Haddonfield Boro,38C,PRE K-GRADE8,Haddonfield Friends School,Haddonfield Friends School,342414.836,388605.5951,PRIVATE
576,cb041b0a-fb6f-4728-b1e6-16de836478b0,8,CAMDEN,262,Merchantville Boro,41C,,Saint Peter School,St Peter School,337020.5505,407250.1129,PRIVATE
577,cc0820da-5e8a-449f-90ab-2614d349b507,8,CAMDEN,265,Pennsauken Twp,44C,GRADES 1-11,Jdt Christian Academy,Jdt Christian Academy,328595.8486,402045.0068,PRIVATE
578,adbd3638-b985-4f23-bb8d-e0443a21b447,8,CAMDEN,268,Pennsauken Twp,47C,K-GRADE 8,Saint Cecilia School,St Cecilia School,333745.8458,409903.3166,PRIVATE
579,318e811b-46d0-43ff-822a-f05f28433bd7,8,CAMDEN,272,Runnemede Boro,50C,,Saint Teresa Regional School,St Teresa Regional School,332162.7391,368962.3863,PRIVATE
580,3ebb3982-3fcb-4b98-ad25-0364184190c0,40,UNION,1284,Westfield Town,76L,CHILD CARE,Early Learning Center YMCA Westfield,Early Learning Center YMCA Westfield,533786.4198,662829.503,PRIVATE
581,a5aa1457-2920-4d2b-93c9-1730bed333cb,22,MERCER,523,Ewing Twp,83E,,Villa Victoria Academy,Villa Vvctoria Academy,396735.2933,518111.1248,PRIVATE
582,88271816-6ab2-4621-a77d-0bb59b9d4be3,22,MERCER,537,Hopewell Valley Regional,96E,,"Pennington School, The",Pennington School,409940.531,544307.3299,PRIVATE
583,d010bbb5-dda9-4570-bf9b-b50fb89002c8,22,MERCER,545,Hopewell Valley Regional,04F,,"Village Learning Center, The",Toddler'S Village Learning Cnt,408759.4477,548977.1346,PRIVATE
584,6503ff83-5017-48ea-8a42-c04b81404ec8,22,MERCER,547,Lawrence Twp,06F,,Notre Dame High School,Notre Dame High School,424130.9452,517853.581,PRIVATE
585,dd9ed68d-968d-455d-9dfb-d815531e802c,26,MONMOUTH,741,Long Branch City,81G,FOUR-YEAR HIGH SCHOOL,Ma'Or Yeshiva High School For Boys,Ma'Or Yeshiva High School For Boys,631926.0677,523625.5731,PRIVATE
586,24056ff1-6dea-47c0-8968-544b2890782a,36,SOMERSET,1152,Franklin Twp,55K,PK-8,Cedar Hill Prep School,Cedar Hill Prep School,485540.8319,614155.1036,SOM_PRV
587,967230fe-5d8b-40b4-b2f1-8938f0d3bd9f,36,SUSSEX,1148,Hopatcong Borough,52K,COMBINED ELEMENTARY AND SECONDARY SCHOOL,Elite Prepartory Academy,Elite Preparatory Academy,448684.5267,767249.7364,
588,7fcfa37e-67e1-468c-8675-6db60049880c,36,SOMERSET,1153,Franklin Twp,56K,COMBINED ELEMENTARY AND SECONDARY SCHOOL,Somerset Bible Baptist Christian Ac,Somerset Bible Baptist Christian Ac,488793.1023,618191.2241,PRIVATE
589,b90ad5c3-f784-419f-91b5-4978b1c85d8f,36,SOMERSET,1154,Franklin Twp,57K,KINDERGARTEN SCHOOL,Somerset Presbyterian Nursery Sch,Somerset Presbyterian Nursery Sch,493801.6281,610539.7319,SOM_PRV
590,efbe6a48-d3ac-4053-9bee-0355beb265b7,36,SOMERSET,1126,Branchburg Twp,32K,NURSERY/PRE-SCHOOL,"Goddard School Of Branchburg, The","Goddard School Of Branchburg, The",436142.6194,646562.9226,PRIVATE
591,c200878d-3766-494c-9ec7-f4185ff52a12,36,SOMERSET,1186,Warren Twp,86K,,Kindercare Learning Center Warren,Kindercare Learning Center Warren,496224.6974,651224.5068,PRIVATE
592,ca6fc268-4f5a-47c4-bfdc-32fc00f60500,36,SOMERSET,1189,Watchung Hills Reg,89K,,Mount Saint Mary Academy,Mount Saint Mary Academy,515635.0496,661062.1784,PRIVATE
593,61275c9f-0b19-4a32-9f20-00243f561947,36,SOMERSET,1122,Branchburg Twp,28K,"DAY CARE, PRE-SCHOOL",The Grit Academy,The Grit Academy,429342.8767,626488.2843,PRIVATE
594,d84cda67-9819-4b46-8414-47cdf7da18db,36,SOMERSET,1123,Branchburg Twp,29K,,Kangaroo Kids Child Cnt,Kangaroo Kids Child Center,442934.5142,644293.1897,PRIVATE
595,80c5c54c-1f81-43ed-8400-2920b8e7bc3c,36,SOMERSET,1136,Bridgewater-Raritan Reg,41K,DAY CARE,Raritan Valley Montessori Acd,Raritan Valley Montessori Acd,470985.4821,631819.3954,PRIVATE
596,70a10dbc-948e-4d36-bd40-7fbf5113cf79,16,GLOUCESTER,424,Harrison Twp,90D,PRE K-GRADE 8,Friends School,Friends School,287594.9102,327966.9585,PRIVATE
597,83f74f39-5f48-46a2-b1cb-4a335cd3d216,16,GLOUCESTER,426,Mantua Twp,92D,,Bright Beginnings West Sch,Bright Beginnings West School,311836.1692,330733.8945,PRIVATE
598,8ff30b02-a92f-40bd-9b5b-9c32b8129a7e,16,GLOUCESTER,425,Mantua Twp,91D,PRE K-GRADE 12,Gloucester Co Christian School,Gloucester Co Christian School,306328.2668,329957.9069,PRIVATE
599,c508a9e9-240e-4585-8050-59b0f276bc43,16,GLOUCESTER,427,Monroe Twp,93D,PRE K-GRADE 8,Saint Mary School,St Mary School,354638.8431,308383.9307,PRIVATE
600,c27faf07-f535-44be-b3a4-2db552c685b1,16,GLOUCESTER,434,Washington Twp,99D,,Brighten Academy,Brighten Academy,337188.4016,324258.8012,PRIVATE
601,88d61b57-1094-4d05-af8e-810a088337aa,16,GLOUCESTER,435,Washington Twp,01E,PRE K-KINDERGARTEN,Chesterbrook Academy,Chesterbrook Academy,327064.4881,340213.5265,PRIVATE
602,ad83971f-3f08-4866-abe4-93708d3ed1ad,16,GLOUCESTER,438,Washington Twp,04E,DAY CARE,T L C Daycare Center,T L C Care Center,328037.831,332761.9594,PRIVATE
603,0a6ceb31-cb6c-4bef-a221-dc3549d97328,16,GLOUCESTER,439,West Deptford Twp,05E,PRE K-KINDERGARTEN,CHILDRENSMONTESSORI SCHOOLHOUSE,Children Montessori Schoolhouse,308329.3911,371083.8699,PRIVATE
604,da949897-18ed-4cab-aab0-c0dac55a7dc0,16,GLOUCESTER,441,West Deptford Twp,06E,CHILD CARE UP TO AGE 12,Under The Sun Lrn Ctr/West Deptford,Under The Sun Lrn Ctr/West Deptford,303891.5912,353237.6071,PRIVATE
605,435689b0-4b13-4b19-9189-04f0340cd012,16,GLOUCESTER,444,Woodbury Heights Boro,09E,PRE K-GRADE 5,Saint Margaret School,Saint Margaret School,307343.2775,357975.385,PRIVATE
606,116e2482-20e1-460b-a648-838d3a341edb,18,HUDSON,448,Bayonne City,13E,K-GRADE 8,Beacon Christian Academy,Beacon Christian Academy,598637.5808,665761.5398,PRIVATE
607,fc5ac963-9866-4be8-a6ba-13101e06c310,4,BERGEN,56,Garfield City,52A,DAY CARE,Margaret P Muscarelle Child,Margaret P. Muscarelle Child Development Center,601543.7521,746565.7709,PRIVATE
608,beb25626-969f-4436-8a40-c38d14a96e45,4,BERGEN,58,Glen Rock Boro,54A,,Academy Of Our Lady,Academy Of Our Lady,593966.1587,773364.4476,PRIVATE
609,f78aac5f-70c7-413c-b764-b199f36db31f,4,BERGEN,65,Hasbrouck Heights Boro,60A,,Corpus Christi,Corpus Christi,609383.7092,739494.012,PRIVATE
610,b3ab1161-a418-4835-b025-0a674d5b173a,4,BERGEN,67,Hillsdale Boro,62A,,Saint John'S Academy,St John'S Academy,617822.7439,790572.9817,PRIVATE
611,b7b9bf36-1a66-427f-a99f-8def1700938f,2,ATLANTIC,1,Absecon City,01A,,Holy Spirit High School,Holy Spirit High School,489422.3911,212451.0018,PRIVATE
612,4681689c-e3df-4f72-a8df-89fdc4cebf2c,2,ATLANTIC,3,Atlantic City,03A,,Our Lady Star Of The Sea,Our Lady Star Of The Sea,507744.3623,190508.1589,PRIVATE
613,ed6c53e9-fede-4954-919a-1de5f3d1d8fd,2,ATLANTIC,7,Buena Regional,08A,,Saint Marys Regional,St Marys Regional,373252.8295,232662.5497,PRIVATE
614,612a2873-6aea-4981-b9f6-5dfbb8a71d57,2,ATLANTIC,12,Egg Harbor Twp,12A,,English Creek Academy,English Creek Academy,459817.3,218230.861,PRIVATE
615,d1cb08ca-cb22-41d8-838b-01a2c1704ff6,2,ATLANTIC,15,Galloway Twp,15A,,Assumption Regional Catholic School,Assumption Regional Catholic School,495238.0802,233353.9177,PRIVATE
616,eeeb9036-1c47-4905-986b-a8c2178214fb,2,ATLANTIC,14,Galloway Twp,14A,,Pilgrim Academy,Pilgrim Academy,480830.3492,248816.0315,PRIVATE
617,b6c6581b-064d-4a1b-80e4-81dfe46306f3,2,ATLANTIC,18,Hamilton Twp,18A,,Saint Vincent Depaul School,St. Vincent De Paul Regional School,428547.2425,225222.0061,PRIVATE
618,77a23824-009d-4632-a691-ddf7ce29a64e,2,ATLANTIC,22,Hammonton Town,21A,,Life Mission Training Center,Life Mission Training Center,413056.1737,284519.944,PRIVATE
619,6c15ff38-7630-4f05-8070-ac72723807cf,4,BERGEN,28,Bogota Boro,27A,,Trinity Lutheran School,Trinity Lutheran School,622998.2155,743163.049,PRIVATE
620,9493a018-2eb8-4a60-951b-f4f2fd09b1ef,4,BERGEN,32,Demarest Boro,30A,,Academy Of Holy Angels,Academy Of Holy Angels,645505.2108,768832.5885,PRIVATE
621,0e30f4ec-1777-4f8b-8aa1-83cd6daeac2e,4,BERGEN,33,Edgewater Boro,31A,,Apple Montessori School Of Edgewater,Apple Montessori School Of Edgewater,637716.8934,727566.3938,PRIVATE
622,e0afa458-6a9c-4539-af02-f21d77322346,4,BERGEN,35,Emerson Boro,33A,,Assumption Early Childhood Center,Assumption Academy,623485.018,781024.8397,PRIVATE
623,5ed7c58c-e839-4452-9d38-295d29179b1b,4,BERGEN,37,Englewood City,35A,,Dwight-Englewood School,Dwight-Englewood School,640928.1957,748816.8087,PRIVATE
624,edfadd75-a2d6-422c-a764-874d3a31a49f,4,BERGEN,41,Englewood City,38A,,First Presbyterian Preschool & Kindergarten,First Presbyterian Preschool & Kindergarten,638424.2355,749793.5873,PRIVATE
625,84c1fdf1-847d-4c92-9605-d814f671b540,4,BERGEN,42,Englewood City,39A,,Moriah School,Moriah School Of Englewood,641197.8739,747311.9128,PRIVATE
626,e1da8361-cfb2-4d0f-aae9-408edd23f3e3,4,BERGEN,39,Englewood City,37A,,"Elisabeth Morrow School, The",The Elisabeth Morrow School,641512.0023,754421.9074,PRIVATE
627,a68ac9b8-12a2-4bca-b48f-2cc5af836eec,4,BERGEN,36,Englewood City,34A,,Yeshiva Ohr Simcha Englewood,Yeshiva Ohr Hatalmud-Englewood,634662.656,748740.297,PRIVATE
628,379b2072-7be8-4c6e-a801-faa8c3444113,4,BERGEN,49,Fairview Boro,46A,,Academy  Of Our Lady Of Grace,Our Lady Of Grace School,630899.155,722779.3683,PRIVATE
629,503b2712-0e62-45f7-b2ab-62d8a1295c55,4,BERGEN,51,Fort Lee Boro,47A,,Christ The Teacher School,Christ The Teacher School,637377.0581,735519.98,PRIVATE
630,be93a7c6-b6fc-48de-89cc-3229910c1755,14,ESSEX,406,Verona Boro,74D,,Our Lady Of The Lake,Our Lady Of The Lake,562448.7165,727675.5852,PRIVATE
631,7305dcfe-34eb-4a12-b765-d35ea569dca6,14,ESSEX,407,West Orange Town,75D,COOLEGE PREPARATORY HS FOR YOUNG MEN,Seton Hall Prep,Seton Hall Prep,562002.7308,707390.0579,PRIVATE
632,c65cef4e-ca7b-464c-8085-465d605fd9fc,14,ESSEX,414,West Orange Town,81D,PK-GRADE 12,Golda Och Academy - Lower School,Golda Och Academy-Lower School,560921.629,708088.2809,PRIVATE
633,0eaaf884-87ef-4714-a8c6-b56426d28788,16,GLOUCESTER,416,Clayton Boro,83D,PRE K-GRADE 8,Saint Michael The Archangel Regional,St Michael The Archangel Regional,324338.6113,303018.8351,PRIVATE
634,71839d19-68ad-4823-84f9-b894895bb05c,4,BERGEN,72,Lodi Borough,66A,,Immaculate Conception H S,Immaculate Conception High School,604639.9034,740803.4445,PRIVATE
635,f9741c63-a6de-4685-8eb4-29c672482257,4,BERGEN,74,Lyndhurst Twp,68A,,Sacred Heart School,Sacred Heart School,597937.4641,719419.6746,PRIVATE
636,e5ad52ea-f6d2-4d22-9748-2bd5b5a3015d,4,BERGEN,78,Mahwah Twp,72A,,Young World Day School,Young World Day School,585025.2983,804039.0936,PRIVATE
637,04d8a373-705f-432f-b792-f31924eb3a0e,4,BERGEN,83,Pascack Valley Regional,76A,HIGH SCHOOL,Saint Joseph Regional,Saint Joseph Regional,610320.1791,807564.4346,PRIVATE
638,4f0f9d4e-b3ee-4af4-9374-b07a3247e4f3,4,BERGEN,85,New Milford Boro,78A,,Hovnanian School,Hovnanian School,623215.6681,763173.1123,PRIVATE
639,44db485b-a4fd-4aba-abfb-b2710629abb5,4,BERGEN,101,River Dell Regional,93A,HIGH SCHOOL,Bergen Catholic High,Bergen Catholic High,616496.0693,774752.5947,PRIVATE
640,b4d8ecd8-4efa-479b-b433-cdc831d40a00,4,BERGEN,103,Palisades Park,95A,,Notre Dame Academy,Notre Dame Academy,631493.8871,734275.011,PRIVATE
641,b44e3c2b-c820-4b20-ae97-8f4820b2934d,4,BERGEN,104,Paramus Boro,96A,,Children'S Country Day School,Children'S Country Day Sch,604797.4671,778300.8101,PRIVATE
642,cf6a7cf7-0591-4cf2-bcfd-0a36cc3be74a,4,BERGEN,107,Paramus Boro,99A,,Paramus Catholic High School,Paramus Catholic High School,604029.5123,773292.4527,PRIVATE
643,fe0c0cc5-9ef0-48b3-97b6-c140da25763a,4,BERGEN,114,Paramus Boro,06B,,Visitation Academy,Visitation Academy,613156.4986,765607.0405,PRIVATE
644,2b8560b4-e567-40e6-81c1-120327e515c0,4,BERGEN,117,Paramus Boro,09B,,Yavneh Academy,Yavneh Academy,612106.0903,764243.8727,PRIVATE
645,886ef697-83b4-4f05-8264-78712c5c0a72,4,BERGEN,122,Park Ridge Boro,13B,,Our Lady Of Mercy Academy,Our Lady Of Mercy Academy,617287.3535,800930.8163,PRIVATE
646,6087926e-31c9-4b2e-9efd-ae1fcee55438,4,BERGEN,123,Ramsey Boro,14B,,Don Bosco High School,Don Bosco High School,592486.556,815755.0846,PRIVATE
647,a5ce1390-4189-4ebb-86cf-a54ee01260c1,4,BERGEN,124,Ramsey Boro,15B,,Academy Of Saint Paul,Academy Of Saint Paul,588168.7805,808486.9056,PRIVATE
648,b54bddc6-8802-4e3c-a529-ade3e624dc06,4,BERGEN,135,River Edge Boro,24B,,Saint Peter Academy,St Peter Academy,617706.5499,762673.381,PRIVATE
649,b84c2da5-7655-4d8a-8575-4e9e97c59e46,4,BERGEN,138,Rutherford Boro,27B,,Saint Mary High School,Saint Mary High School,601620.2461,727363.284,PRIVATE
650,743b8dc8-0b9f-4ad4-939b-4a28374e1c4d,4,BERGEN,145,Saddle Brook Twp,34B,,Nursery Rhymes,Nursery Rhymes,606885.2585,751545.565,PRIVATE
651,4166dd4a-1da7-4d41-91ec-9cba31e839c6,14,ESSEX,333,East Orange,06D,K-GRADE 8,Our Lady Help Of Christians,Our Lady Help Of Christians,571312.1328,703795.3718,PRIVATE
652,ce8c6a40-f39b-4be8-8c8a-bd7cbfec0707,14,ESSEX,335,East Orange,08D,ELEMENTARY,Saint Joseph School,Saint Joseph School,567716.0478,698932.3911,PRIVATE
653,37a5ccb8-407c-4285-bf73-5c44056611c1,14,ESSEX,342,Irvington Township,14D,ALTERNATIVE EDUCATION PROGRAM,(Ycs) Independence High School,Independence High School,571344.5993,694322.8242,PRIVATE
